ID,System,Section/File,Text,Interpreted constraint,Type
GUA-2,guava-28.0,https://github.com/google/guava/wiki/CollectionUtilitiesExplained#general,getOnlyElement(Iterable) | Returns the only element in Iterable. Fails fast if the iterable is empty or has multiple elements.,Checks that iterable.size > 1,dual-value-comparison
GUA-3,guava-28.0,https://github.com/google/guava/wiki/CollectionUtilitiesExplained#multisets,"containsOccurrences(Multiset sup, Multiset sub) | Returns true if sub.count(o) <= super.count(o) for all o.",Checks that sub.count(o) <= super.count(o),value-comparison
GUA-4,guava-28.0,https://github.com/google/guava/wiki/PreconditionsExplained#preconditions,checkArgument(boolean) | Checks that the boolean is true. Use for validating arguments to methods.,Checks that the argument is true,dual-value-comparison
GUA-5,guava-28.0,https://github.com/google/guava/wiki/PreconditionsExplained#preconditions,"checkNotNull(T) | Checks that the value is not null. Returns the value directly, so you can use checkNotNull(value) inline.",Checks that the argument is non-null,dual-value-comparison
GUA-6,guava-28.0,https://github.com/google/guava/wiki/PreconditionsExplained#preconditions,"checkElementIndex(int index, int size) | Checks that index is a valid element index into a list, string, or array with the specified size. An element index may range from 0 inclusive to size exclusive. You don't pass the list, string, or array directly; you just pass its size.
Returns index.",Checks that index < size,value-comparison
GUA-7,guava-28.0,https://github.com/google/guava/wiki/PreconditionsExplained#preconditions,"checkPositionIndex(int index, int size) | Checks that index is a valid position index into a list, string, or array with the specified size. A position index may range from 0 inclusive to size inclusive. You don't pass the list, string, or array directly; you just pass its size.
Returns index.",Checks that index <= size,value-comparison
GUA-8,guava-28.0,https://github.com/google/guava/wiki/CollectionUtilitiesExplained#general,"getFirst(Iterable, T default) | Returns the first element of the iterable, or the default value if empty.",Checks that the iterable is empty,dual-value-comparison
GUA-9,guava-28.0,https://github.com/google/guava/wiki/UsingAndAvoidingNullExplained#query-methods,"Each of these are non-static methods on a particular Optional<T> value.
...
boolean isPresent() | Returns true if this Optional contains a non-null instance.",Checks that Optional.value is not-null,dual-value-comparison
GUA-10,guava-28.0,https://github.com/google/guava/wiki/UsingAndAvoidingNullExplained#query-methods,"Each of these are non-static methods on a particular Optional<T> value.
...
T get() | Returns the contained T instance, which must be present; otherwise, throws an IllegalStateException.",Checks that Optional.value is not null,dual-value-comparison
GUA-11,guava-28.0,https://github.com/google/guava/wiki/OrderingExplained#application,min(Iterable) | Returns the minimum element of the specified Iterable. Throws a NoSuchElementException if the Iterable is empty.,Checks that the iterable is empty,dual-value-comparison
HCO-1,httpcomponents,Tutorial 1.1.1,All HTTP messages must include the protocol version,Checks that Message.protocolVersion is not null/empty,dual-value-comparison
HCO-2,httpcomponents,https://www.w3.org/Protocols/HTTP/1.0/spec.html#http-URL,"If the port is empty or not given, port 80 is assumed",Sets/Enforces default port to 80,concrete-value
HCO-3,httpcomponents,Tutorial 1.1.3.2.,"If the headers aren't available, a length of -1 will be returned, and NULL for the content
type.",if headers not present,dual-value-comparison
HCO-4,httpcomponents,Tutorial 1.1.4.4,"Alternatively, a negative content length will read all data
from the input stream, which is the same as supplying the exact content length, so use the length to
limit the amount of data to read.",contentLength < 0,value-comparison
HCO-5,httpcomponents,Tutorial 2.3.3,"HTTP/1.1
connections are persistent by default, while HTTP/1.0 connections are not.",connection.version = HTTP/1.1,value-comparison
HCO-6,httpcomponents,Tutorial 2.3.3,"The peer can indicate whether it intends to re-use the connection
on the opposite side by sending Keep-Alive or Close values in the Connection header.",if Keep-Alive is present,dual-value-comparison
HCO-7,httpcomponents,Tutorial 2.4,"By default the pool allows only 20 concurrent connections in total and two concurrent connections
per a unique route.",concurrentConnections = 20,concrete-value
HCO-8,httpcomponents,Tutorial 3.8.1,"Upon receiving an incoming request the HttpAsyncService verifies the message for compliance
with the server expectations using
HttpAsyncExpectationVerifier , if provided, and
then
HttpAsyncRequestHandlerResolver is used to resolve the request URI to a particular
HttpAsyncRequestHandler intended to handle the request with the given URI.",HttpAsyncExpectationVerifier is present,dual-value-comparison
HCO-9,httpcomponents,spec.html#Method,Servers should return the status code 501 (not implemented) if the method is unrecognized or not implemented.,if method is unrecognized,dual-value-comparison
HCO-10,httpcomponents,Tutorial 1.1.3.2,"If the Content-Type header is available, a Header object will be returned",Checks that Header.Content-Type is not null/empty,dual-value-comparison
HCO-11,httpcomponents,spec.html#Entity,"All responses to the HEAD request method must not include a body, even though the presence of entity header fields may lead one to believe they do.",HEAD request.body is not present,dual-value-comparison
HCO-12,httpcomponents,spec.html#Entity,All other responses must include an entity body or a Content-Length header field defined with a value of zero (0).,response must include body,dual-value-comparison
HCO-13,httpcomponents,spec.html#Entity,"If the media type remains unknown, the recipient should treat it as type ""application/octet-stream"".",if media type unknown,dual-value-comparison
HCO-14,httpcomponents,spec.html#Entity,"If a Content-Length header field is present, its value in bytes represents the length of the Entity-Body",if Content-Length is persent,dual-value-comparison
HCO-15,httpcomponents,spec.html#Method definitions,"The semantics of the GET method changes to a ""conditional GET"" if the request message includes an If-Modified-Since header field.",request.If-Modified-Since is present,dual-value-comparison
HCO-16,httpcomponents,spec.html#Header Field Definitions,Any Content-Length greater than or equal to zero is a valid value.,Content-Length >= 0,value-comparison
HCO-17,httpcomponents,spec.html#Entity,"All 1xx (informational), 204 (no content), and 304 (not modified) responses must not include a body.",Status code = 304,value-comparison
HCO-18,httpcomponents,Tutorial 1.1.4.7,"If the supplied entity
is already repeatable",Checks that the supplied entity is repeatable,dual-value-comparison
HCO-19,httpcomponents,https://www.w3.org/Protocols/HTTP/1.0/spec.html#Operation,The default port is TCP 80,Sets/Enforces default port to 80,concrete-value
HCO-20,httpcomponents,https://www.w3.org/Protocols/HTTP/1.0/spec.html#Basic-Rules,Recipients of header field TEXT containing octets outside the US-ASCII character set may assume that they represent ISO-8859-1 characters,Checks if character is outside US-ASCII,categorical-value
HCO-21,httpcomponents,https://www.w3.org/Protocols/HTTP/1.0/spec.html#HTTP-Version,"Since the protocol version indicates the protocol capability of the sender, a proxy/gateway must never send a message with a version indicator which is greater than its native version; if a higher version request is received, the proxy/gateway must either downgrade the request version or respond with an error.",Checks if version received is greater than native version,value-comparison
JED-1,jedit-5.6pre0,http://www.jedit.org/users-guide/starting.html,"If jEdit is started while another copy is already running, control is transferred to the running copy, and a second instance is not loaded. This saves time and memory if jEdit is started multiple times. Communication between instances of jEdit is implemented using TCP/IP sockets; the initial instance is known as the server, and subsequent invocations are clients.",has jEdit.alreadyRunning,dual-value-comparison
JED-2,jedit-5.6pre0,http://www.jedit.org/users-guide/views.html,"View>Close View closes the current View. If only one View is open, closing it will exit jEdit, unless background mode is on; see Chapter 2, Starting jEdit for information about starting jEdit in background mode.",has jEdit.background,dual-value-comparison
JED-3,jedit-5.6pre0,http://www.jedit.org/users-guide/action-bar.html,"If you specify a repeat count greater than 20, a confirmation dialog box will be displayed, asking if you really want to perform the action. This prevents you from hanging jEdit by executing a command too many times.",repeatCount > 20,value-comparison
JED-4,jedit-5.6pre0,http://www.jedit.org/users-guide/creating.html,"File>New (shortcut: C+n) opens a new, empty, buffer. Another way to create a new file is to specify a non-existent file name when starting jEdit on the command line. A new file will be created on disk when the buffer is saved for the first time.",has File.savedFirstTime,dual-value-comparison
JED-5,jedit-5.6pre0,http://www.jedit.org/users-guide/opening.html,"Files that you do not have write access to are opened in read-only mode, where editing is not permitted.",File.writeAccess,dual-value-comparison
JED-6,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"File>Save As renames the buffer and saves it in a new location. Note that using this command to save over another open buffer will close the other buffer, to stop two buffers from being able to share the same path name.",Buffer.path == Buffer.path,value-comparison
JED-7,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"File>Save a Copy As saves the buffer to a different location but does not rename the buffer, and does not clear the “modified” flag. Note that using this command to save over another open buffer will automatically reload the other buffer.",Buffer.path == Buffer.path,value-comparison
JED-8,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"The autosave feature protects your work from computer crashes and such. Every 30 seconds, all buffers with unsaved changes are written out, with their respective file names, enclosed in hash (“#”) characters. For example, /home/user/project/program.c will be autosaved to home/user/project/#program.c# under your backup/autosave directory, or next to the original file, if no backup/autosave directory is specified.",has Buffer.unsavedChanges,dual-value-comparison
JED-9,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"If an autosave file is found while a buffer is being loaded, jEdit will offer to recover the autosaved data.",has Buffer.autosaveFile,dual-value-comparison
JED-10,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"If Autosave of Untitled Buffers is enabled, then jEdit will allow you to exit without asking you to save dirty untitled buffers, and will silently restore them for you on next jEdit startup.",has jEdit.autosaveUntitledBuffers,dual-value-comparison
JED-11,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"The backup feature can be used to roll back to the previous version of a file after changes were made. When a buffer is saved for the first time after being opened, its original contents are “backed up” under a different file name.",has Buffer.savedFirstTime,dual-value-comparison
JED-12,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,The Max number of backups setting determines the number of backups to save. Setting this to zero disables the backup feature. Settings this to more than one adds numbered suffixes to file names. By default only one backup is saved.,jEdit.numberOfBackups == 0,value-comparison
JED-13,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,The Max number of backups setting determines the number of backups to save. Setting this to zero disables the backup feature. Settings this to more than one adds numbered suffixes to file names. By default only one backup is saved.,jEdit.numberOfBackups > 1,value-comparison
JED-14,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,"If the Backup, Autosave directory setting is non-empty, backups are saved in that location (with the full path to the original file under it). Otherwise, they are saved in the same directory as the original file.",has jEdit.autosaveDirectory,dual-value-comparison
JED-15,jedit-5.6pre0,http://www.jedit.org/users-guide/starting.html,"Not only does the edit server pick a random TCP port number on startup, it also requires that clients provide an authorization key; a randomly-generated number only accessible to processes running on the local machine. So not only will “bad guys” have to guess a 64-bit integer, they will need to get it right on the first try; the edit server shuts itself off upon receiving an invalid packet.",has Packet.valid,dual-value-comparison
JED-16,jedit-5.6pre0,http://www.jedit.org/users-guide/vfs-browser.html,"Clicking the Favorites button displays a menu showing all files and directories in the favorites list. The Add to Favorites item adds the currently selected file to the favorites list. If nothing is selected, the current directory is added. To remove a file from the favorites, invoke Edit Favorites, which will show the favorites list in the file system view, then select Delete from the right-click menu of the entry you want to remove.",has Browser.selection,dual-value-comparison
JED-17,jedit-5.6pre0,http://www.jedit.org/users-guide/closing-exiting.html,"File>Close (shortcut: C+w) closes the current buffer. If it has unsaved changes, jEdit will ask if they should be saved first.",has Buffer.unsavedChanges,dual-value-comparison
JED-18,jedit-5.6pre0,http://www.jedit.org/users-guide/undo-redo.html,"By default, the last 100 edits is retained; older edits cannot be undone. The maximum number of undos and whether undos are reset when a buffer is saved can be changed in the Editing pane of the Utilities> Options dialog box; see the section called “The Editing Pane”.",editsRetained <= 100,value-comparison
JED-19,jedit-5.6pre0,http://www.jedit.org/users-guide/words.html,"If there is only one completion, it will be inserted into the buffer immediately.",completionAmount == 1,value-comparison
JED-20,jedit-5.6pre0,http://www.jedit.org/users-guide/words.html,"If multiple completions were found, the longest common prefix is inserted into the buffer",completionAmount > 1,value-comparison
JED-21,jedit-5.6pre0,http://www.jedit.org/users-guide/word-wrap.html,"If the margin is set to 0, then the width of the text area window is used to determine where to wrap lines.",jEdit.margin == 0,value-comparison
JED-22,jedit-5.6pre0,http://www.jedit.org/users-guide/word-wrap.html,"In hard wrap mode, inserting text at the end of a line will automatically break the line if it extends beyond the wrap margin. Inserting or removing text in the middle of a line has no effect, however text can be re-wrapped using the Edit>Text>Format Paragraph command. See the section called “Working With Paragraphs”.",Line.length > wrapMargin,value-comparison
JED-23,jedit-5.6pre0,http://www.jedit.org/users-guide/cli-usage.html,-log=level | Set the minimum log level to an integer between 1 and 9. Default is 7,default Log.level = 7,concrete-value
JED-24,jedit-5.6pre0,http://www.jedit.org/users-guide/overview.html,"The drop-down buffer switcher list at the top of each EditPane shows a BufferSet, or a set of open buffers (see the section called “Buffer Sets and closing buffers”). Selecting a buffer on this list will make it visible in the TextArea. Different emblems are displayed next to buffer names in the list, depending the buffer's state; a red disk is shown for buffers with unsaved changes, a lock is shown for read-only buffers, and a spark is shown for new buffers which don't yet exist on disk.",has Buffer.unsavedChanges,dual-value-comparison
JED-25,jedit-5.6pre0,http://www.jedit.org/users-guide/overview.html,"The drop-down buffer switcher list at the top of each EditPane shows a BufferSet, or a set of open buffers (see the section called “Buffer Sets and closing buffers”). Selecting a buffer on this list will make it visible in the TextArea. Different emblems are displayed next to buffer names in the list, depending the buffer's state; a red disk is shown for buffers with unsaved changes, a lock is shown for read-only buffers, and a spark is shown for new buffers which don't yet exist on disk.",has Buffer.readOnly,dual-value-comparison
JED-26,jedit-5.6pre0,http://www.jedit.org/users-guide/overview.html,"The drop-down buffer switcher list at the top of each EditPane shows a BufferSet, or a set of open buffers (see the section called “Buffer Sets and closing buffers”). Selecting a buffer on this list will make it visible in the TextArea. Different emblems are displayed next to buffer names in the list, depending the buffer's state; a red disk is shown for buffers with unsaved changes, a lock is shown for read-only buffers, and a spark is shown for new buffers which don't yet exist on disk.",has Buffer.existsOnDisk,dual-value-comparison
JED-27,jedit-5.6pre0,http://www.jedit.org/users-guide/views.html,"View>Close View closes the current View. If only one View is open, closing it will exit jEdit, unless background mode is on; see Chapter 2, Starting jEdit for information about starting jEdit in background mode.",jEdit.amountOfOpenViews == 1,value-comparison
JED-28,jedit-5.6pre0,http://www.jedit.org/users-guide/buffersets.html,"The statusbar shows you which BufferSet scope is active (look for the letter ""G"", ""E"" or ""V""). Double-clicking on that will allow you to change the scope without going into global options.","BufferSet.activeScope options are G, E , V",categorical-value
JED-29,jedit-5.6pre0,http://www.jedit.org/users-guide/starting.html,"If you find yourself launching and exiting jEdit a lot, the startup time can get a bit bothersome. If the -background command line switch is specified, jEdit will continue running and waiting for client requests even after all editor windows are closed. When run in background mode, you can open and close jEdit any number of times, only having to wait for it to start the first time. The downside of this is increased memory usage.",has Command.background,dual-value-comparison
JED-30,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,The Max number of backups setting determines the number of backups to save. Setting this to zero disables the backup feature. Settings this to more than one adds numbered suffixes to file names. By default only one backup is saved.,default jEdit.numberOfBackups = 1,concrete-value
JED-31,jedit-5.6pre0,http://www.jedit.org/users-guide/saving.html,The Backup filename suffix setting is the suffix that is added to the backed-up file name. This is “~” by default.,default jEdit.backupFilenameSuffix,concrete-value
JED-32,jedit-5.6pre0,http://www.jedit.org/users-guide/reloading.html,"When a view is brought to the foreground, jEdit checks if any open buffers were modified on disk by another application. All affected buffers are listed in a dialog box. By default, buffers without unsaved changes are automatically reloaded. This feature can be disabled, or changed to prompt if files should be reloaded first, in the General pane of the Utilities>Options dialog box; see the section called “The Global Options Dialog Box”.",has Buffer.isModified,dual-value-comparison
JED-33,jedit-5.6pre0,http://www.jedit.org/users-guide/word-wrap.html,"If end of line markers are enabled in the Text Area pane of the Utilities>Options dialog box, a special character (“↩”) is painted at the end of wrapped lines. If you are using a font that can not display it, or wish to use a different character, you can jEdit.setProperty(""view.eolMarkerChar"", ""↩""); from the Console beanshell and you will see it after a restart of jEdit. To enable/disable or change its color, see the section called “The Text Area Pane”.",has jEdit.endOfLineMarkers,dual-value-comparison
JTI-1,joda_time-2.10.3,https://www.joda.org/joda-time/cal_ethiopic.html,"The Ethiopic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Ethiopic year by four is 3. The Ethiopic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0008-08-29 (Julian), which therefore is 0001-01-01 (Ethiopic). The current era is 'EE' (Ethiopian Era).",Sets value of epoch to 0008-08-29 (Julian),concrete-value
JTI-2,joda_time-2.10.3,https://www.joda.org/joda-time/cal_ethiopic.html,Joda-Time implements the rules described above. We model the 5 or 6 day intercalary month as month 13. We also prevent the entry of dates before year 1.,Checks/Enforces that year > 1,value-comparison
JTI-3,joda_time-2.10.3,https://www.joda.org/joda-time/cal_gj.html,"The GregorianJulian calendar is a combination of two separate calendar systems, the Gregorian and the Julian. The switch from one to the other occurs at a configurable date. The default date is 1582-10-15, as defined by Pope Gregory XIII.",Sets default value of cutoff date to 1582-10-15,concrete-value
JTI-4,joda_time-2.10.3,https://www.joda.org/joda-time/cal_islamic.html,"The definition of a leap year in the Islamic calendar varies. All agree on a 30 year cycle, however which years within the 30 are leap varies by the leap year pattern:
...
15-based | 2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29","Checks that year is in set 2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29",categorical-value
JTI-5,joda_time-2.10.3,https://www.joda.org/joda-time/cal_islamic.html,"Joda-Time allows you to choose between these leap year patterns. The 16-based algorithm is the most commonly used, and is the default. Note that Microsoft uses the 15-based pattern, and calls it the 'Kuwaiti algorithm'.",Sets default value of algorithm to 16-based,concrete-value
JTI-6,joda_time-2.10.3,https://www.joda.org/joda-time/cal_islamic.html,The epoch of the calendar system is 0622-07-16 (Julian) which is therefore 0001-01-01 (Islamic). The current (and only implemented) era is 'AH' (Anno Hegirae).,Sets value of epoch to 0622-07-16 (Julian),concrete-value
JTI-7,joda_time-2.10.3,https://www.joda.org/joda-time/field.html#millisOfSecond,"The fields are explained in more detail below (for the GJChronology):
...
millisOfSecond | 0 | 999",Checks/Enforces that millisOfSecond is in range 0 – 999,value-comparison
JTI-8,joda_time-2.10.3,https://www.joda.org/joda-time/cal_iso.html,"This format of ISO8601 has the following fields:
...
two digit week of year, from 01 to 53",Checks/Enforces that week of year is < 53,value-comparison
JTI-9,joda_time-2.10.3,https://www.joda.org/joda-time/userguide.html#Intervals,"Intervals are implemented as half-open, which is to say that the start instant is inclusive but the end instant is exclusive. The end is always greater than or equal to the start. Both end-points are restricted to having the same chronology and the same time zone.",Checks/Enforces that the end is greater or equal than the start,value-comparison
JTI-10,joda_time-2.10.3,https://www.joda.org/joda-time/cal_coptic.html,"The Coptic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Coptic year by four is 3. The Coptic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0284-08-29 (Julian), which therefore is 0001-01-01 (Coptic). The current era is 'AM' (Anno Martyrum or Year of the Martyrs).",Checks that remainder is equal to 3,value-comparison
JTI-11,joda_time-2.10.3,https://www.joda.org/joda-time/cal_coptic.html,Joda-Time implements the rules described above. We model the 5 or 6 day intercalary month as month 13. We also prevent the entry of dates before year 1.,Checks/Enforces that year > 1,value-comparison
JTI-12,joda_time-2.10.3,https://www.joda.org/joda-time/cal_coptic.html,"The Coptic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Coptic year by four is 3. The Coptic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0284-08-29 (Julian), which therefore is 0001-01-01 (Coptic). The current era is 'AM' (Anno Martyrum or Year of the Martyrs).",Sets value of epoch to 0284-08-29 (Julian),concrete-value
JTI-13,joda_time-2.10.3,https://www.joda.org/joda-time/field.html#millisOfSecond,"The fields are explained in more detail below (for the GJChronology):
...
dayOfWeek | 1 (Monday) | 7 (Sunday)",Checks/Enforces that dayOfWeek is in range 1 – 7,categorical-value
RHI-1,rhino-1.6R5,7.2,"The following characters are considered to be white space:

Code Point Value | Name | Formal Name
\u0009 | Tab | <TAB>
\u000B | Vertical Tab | <VT>
\u000C | Form Feed | <FF>
\u0020 | Space | <SP>
\u00A0 | No-break space | <NBSP>
Other category “Zs” | Any other Unicode “space separator” | <USP>","WhiteSpace choices are: Tab, Vertical Tab, Form Feed, Space, NBSP, Any unicode “Z”",categorical-value
RHI-2,rhino-1.6R5,8.1,"The Undefined type has exactly one value, called undefined. Any variable that has not been assigned a value has the value undefined.",Variable default value is “Undefined”,concrete-value
